Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Wer ist jetzt ... der Rehe?;an;in;bei;q;
Sind Sie ... der Rehe?;an;in;bei;1;
Ich habe das ... Radio gehört.;am;im;bei dem;2;
Ich habe das ... Fernsehen gesehen.;am;bei dem;im;3;
Ich habe das ... der Zeitung gelesen.;in;auf;an;1;
Theaterkarten gibt es nur ... Verkaufsstellen.;in;an;bei;2;
Theaterkarten gibt es nur ... Abendkasse.;in;auf;an;3;
Wo steht das? ... Grundgesetzt.;im;an;auf;1;
An welcher Stelle steht das? Das steht gleich ... 1. Kapitel, ... Seite 3.;auf dem,auf;im,auf;auf dem, in;2;
Wieviel habe ich noch ... meinem Konto?;an;in;auf;3;
Er hat ... der Universität Bochum begonnen.;an;bei;in;1;
Das hat er mir ... Telefon gesagt, und auch ... einem Brief geschrieben.;beim, in;am,in;am, auf;2;
Ich sitze nicht gern ... der Sonne.;auf;an;in;3;
Sie wohnen ... Zoo.;am;bei;in;1;
Sie wohnen ... Stadtpark.;bei dem;am;in dem;2;
Sie wohnen... Theater.;bei dem;in dem;am;3;
Wo muss ich aussteigen? ... Bahnhof.;am;im;bei dem;1;
Wo muss ich aussteigen? ... Rathaus.;im;am;bei dem;2;
Wo muss ich aussteigen? ... der nächsten Haltestelle.;in;bei;an;3;
Sie fanden keinen Unterkunft und mussten ... Freien ... freiem Himmel übernachten.;im,unter;im,auf;im, bei;1;
Heute sieht man nur Regenwolken ... Himmel.;auf dem;am;bei dem;2;
Er ist Dozent ... einer Musikakademie.;in;bei;an;3;
Wo haben Sie das gelesen? Das habe ich ... der Zeitung gelesen.;in;auf;bei;1;
Wo haben Sie das gelesen? Das habe ich ... Kafka gelesen.;in;bei;auf;2;
Wo haben Sie das gelesen? Das habe ich ... Kafkas Tagebüchern gelesen.;bei;auf;in;3;
Er stieg ... dem Autobus.;aus;von;-;1;
Er stieg ... Moped.;aus dem;vom;-;2;
Er stieg ... Taxi.;-;vom;aus dem;3;
Sie stieg ... Zug.;aus dem;vom;-;1;
Sie stieg ... Fahrrad.;aus;von;-;2;
Sie stieg ... der straßenbahn.;von;-;aus;3;
Wann werden Sie ... Urlaub zurück sein?;aus dem;vom;-;1;
Wann werden Sie ... Bodensee zurück sein?;aus dem;vom;-;2;
Wann kommt er gewöhlich ... der Arbeit nach Hause?;-;aus;von;3;
Wann kommt er gewöhlich ... Büro nach Hause?;aus dem;vom;-;1;
Wann kommt er gewöhlich ... Dienst nach Hause?;vom;aus dem;-;2;
Sind Sie schon lange ... Ihrer reise zurück?;aus;-;von;3;
Sind Sie schon lange ... Krankenhaus zurück?;aus dem;vom;-;1;
Sind Sie schon lange ... der Untersuchung zurück?;aus;von;-;2;
Mir ist ein Stein ... Herzen gefallen, als ich das erfuhr.;-;aus dem;vom;3;
Der Wind riß ihm den Hut ... Kopf.;vom;aus dem;-;1;
Der Wind riß ihm die Zeitung ... der Hand.;von;aus;-;2;
Ich trinke nicht gern ... der Flasche.;-;von;aus;3;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... der Stadt zurück?;aus;von;-;1;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... Einkaufen zurück?;aus dem;vom;-;2;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... Frisör zurück?;-;aus dem;vom;3;
Wann kommt es zurück? ... Montag.;Am/-;in;-;1;
Wann kommt es zurück? ... Mai.;-;Im;Am;2;
Wann kommt es zurück? ... nächte Woche.;an der;-;in der/-;3;
Wann ist es kalt? ... Abend.;Am;Im;-;1;
Wann ist es kalt? ... der Nacht.;Am;In;-;2;
Wann ist es kalt? ... Herbst.;am;-;im;3;
Wann ist es kalt? ... Winter.;im;-;am;1;
Wann ist es kalt? ... Dezember.;Am;Im;ß;2;
Wann fliegen Sie nach Berlin? ... Weihnachten;An;In;-;3;
Wann fliegen Sie nach Berlin? ... Anfang nächstes Jahres.;-;Am;Im;1;
Ein kleiner Fehler ... Anfang wird ein großer ... Ende.;im;am;-;2;
Wann haben Sie ihn zuletzt gesehen? ... Ostern.;;;;3;
Wann haben Sie ihn zuletzt gesehen? ... Ende voriger Woche.;-;Im;Am;1;
Wann beginnt deer Kurs? ... 1. März.;Im;Am;-;2;
Wann beginnt deer Kurs? ... Frühjahr.;Am;-;Im;3;
Wann verreisen Sie? ... meinem Geburtstag.;An;In;-;1;
Wann verreisen Sie? ... Weihnachten.;An;-;In;2;
Warum haben Sie nichts Gesagt? Ich habe nicht ... Stolz,nur Höflichkeit geschwiegen.;aus;;;1;
Warum lesen Sie das Buch? Das tue ich wirklich ... Interesse.;vor;aus;-;2;
Sie ist ganz krank ... Ungeduld.;-;aus;vor;3;
warum konnten Sie nicht schlafen? Ich konnte ... Lärm nicht schlafen.;-;aus;vor;1;
Warum tut er das? ... Überzeugung.;vor;aus;-;2;
Warum hat er ihm geholfen? ... Mitleid;-;vor;aus;3;
Warum hat sie nichts gesagt? Sie konnte ... Aufregung nichts sagen.;vor;aus;-;1;
Warum hat er das getan? ... Überzeugung;-;aus;vor;2;
Was war mit ihr? Sie war außer sich ... Zorn.;aus;-;vor;3;
Warum schwieg er? ... Beschadenheit.;aus;vor;-;1;
Wie ist das geschehen? Nicht ... Absicht, sondern Versehen.;vor;aus;-;2;
Warum ist das geschehen? ... Dummheit.;-;vor;aus;3;
