Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Sie sind ... diesem Projekt sehr interessiert;bei;an;für;2;
Die Katze soll nicht ... dem bett schlafen. Sie hat ihr Körbhen.;an;auf;in;2;
Der Hase gehört ... seinem Stall. Kannst du ihn bitte dorthin tragen?;zu;in;bei;1;
Dann fügt Frau Hense die Eier ... dem Teig hinzu und verrührt das ganze vorsichtig.;in;zu;binnen;2;
Peter hat eine Karte ... seinem Urlaub gesrieben. Es gefällt ihm offensichtlich dort.;in;aus;von;2;
Unser Computerraum befindet sich ... ersten Stockwerk.;im;auf dem;am;1;
Unser Sohn ist noch zu klein, aber wir freuen uns ... ein Leben zu dritt.;über;auf;an;2;
In dem ersten Jahren haben wir uns oft ... die Hausarbeit gestritten.;an;über;von;2;
Ich habe 200 Euro ... der Bank;in;an;auf;3;
... dieser Periode hatten wir Urlaub.;In;Während;An;2;
