Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Sie sind ... diesem Projekt sehr interessiert;bei;an;für;2;
Die Katze soll nicht ... dem bett schlafen. Sie hat ihr Körbhen.;an;auf;in;2;
Der Hase gehört ... seinem Stall. Kannst du ihn bitte dorthin tragen?;zu;in;bei;1;
Dann fügt Frau Hense die Eier ... dem Teig hinzu und verrührt das ganze vorsichtig.;in;zu;binnen;2;
Peter hat eine Karte ... seinem Urlaub gesrieben. Es gefällt ihm offensichtlich dort.;in;aus;von;2;
Unser Computerraum befindet sich ... ersten Stockwerk.;im;auf dem;am;1;
Unser Sohn ist noch zu klein, aber wir freuen uns ... ein Leben zu dritt.;über;auf;an;2;
In dem ersten Jahren haben wir uns oft ... die Hausarbeit gestritten.;an;über;von;2;
Ich habe 200 Euro ... der Bank;in;an;auf;3;
... dieser Periode hatten wir Urlaub.;In;Während;An;2;
Gehst du mit ... Post?;in der;bei der;zur;3;
Mein Kind geht seit einigen Monaten ... Kindergarten;zum;in den;nach dem;2;
Er geht ... Park.;in den;bei;an;1;
Wir gehen heute ... Konzert;ins;ans;aufs;1;
Wohin fahten Sie? ... Meer.;Aufs;Nach das;Ans;3;
Ich gehe ... Post.;zur;in der;nach der;1;
Ich setze mich ... Offen.;an den;bei dem;zum;1;
Er ruft sie ... dem Handy an.;an;bei;auf;3;
Der Schulleiter hält nichts ... , dass die Schüler sich vor dem Hof versammeln.;daran;dafür;davon;3;
Dieser Schriftsteller schreibt ... den zweiten Weltkrieg.;über;von;zu;1;
Wegen renovierungsarbeiten wird die Sporthalle ...bestimmte Zeit geschlossen.;über;auf ;durch;2;
... 3. Oktober 1990 trat laut Einigungsvertrag die frühere DDR der Bundesrepublik bei.;Am ;Im;Zum;1;
Wer erinnert sich an den 21. Juli 1969. ... diesem Tag setze der Amerikaner als erster Menscj einen Fuß auf den Mond.;Auf;Über;An;3;
Mann sollte auf andere, umweltschonender Energiequellen zurückgreifen können, aber es geht nicht von heute ... morgen.;auf;über;bis;1;
Die Erklärung für dieses Trauma reicht bis ... seine Kindheit zurück.;über;durch;in;3;
Die Polizei geht ... einem Verbrechen aus.;von;bei;aus;1;
... siebten Himmel.;Am;Im;Auf dem;2;
(?)... die Flasche.;In;Für;Zu;1;
