
Fragen;Option1;Option2;Option3;Korrekte_Option;Tip
Er ... noch zwei Wochen nicht schwimmen. Sein Arm ist gebrochen;darf;muss;kann;1;
Hier ... du nicht rauchen, ... du nicht lesen;musst-kannst;darfst-kannst;kannst-kannst;2;
Er ... ihm helfen. Seim Vater wünscht es.;muss;darf;soll;3;
Du bist krank und ... musst zum Arzt gehen.;musst;darfst;kannst;1;
Hier ... man nicht Ski fahren. Es gibt keinen Schnee.;muss;kann;darf;2;
Du ... noch sehen, womit das alles enden wird.;kannst;darfst;sollst;3;
Hier ... man nicht parken. Es ist verboten.;darf;kann;soll;1;
Sie kann nicht spazieren gehen. Sie hat noch vieles im haushalt zu erledigen.;darf;kann;muss;2;
Er kann nicht gehen. Er ist erst 7 Monate alt.;darf;muss;kann;3;
Ich ... keine Hitze.;mag;muss;will;1;
Du ... recht haben.;darfst;magst;musst;2;
Ich ... nicht laut sprechen. Ich habe Halsschmerzen.;muss;mag;kann;3;
Sie ... gehen. Sie haben alles gemacht.;können;dürfen;müssen;1;
Ich ... dir jetzt die Wahrheit sagen;mag;will;muss;2;
Die Kinder ... heute baden. Das Wasser ist warm.;sollen;müssen;können;3;
Die Dreizen ... ihre Glückszahl sein.;soll;darf;mag;1;
Wie ... ich das erklären? Das ist keine leichte Sache.;darf;soll;muss;2;
Es hat mir gesagt, dass ich nicht auf ihn warten ...;muss;darf;soll;3;
Sie ist eine nette Frau. Er ... sie sehr.;mag;muss;darf;1;
Das Nachschlagewerk ... einen vollen Überblick im Bereich der Ökologie geben.;darf;soll;muss;2;
Ich ... nicht davon sprechen(Habe keine Lust);darf;muss;mag;3;
Du ... rennen. Du siehst, dass der Bus sofort abfährt.;musst;darfst;sollst;1;
Ich mag kein Sauerkraut.;muss;mag;darf;2;
Er ... kann das heute nicht machen. Er hat alle Hände voll zu tun.;soll;muss;kann;3;
Man ... bei solcher Hitze keine Blumen gießen, sonst verbrennen sie.;darf;muss;kann;1;
Uschi ... dich unbedingt einmal besuchen.;mag;will;darf;2;
Ich ... los. sonst verpasse ich den Zug.;darf;soll;muss;3;
Willfried ist erst 12 Jahre Alt. Er ... nicht rauchen.;darf;muss;mag;1;
Michi ... keinen Kaffee.;soll;mag;muss;2;
Ich ... auf dich warten, bis du kommst.;soll;darf;will;3;
Ich bin müde und ... nach hause gehen.;will;muss;darf;1;
... du heute Abend in die Disko mitkommen?;Musst;Kannst;Sollst;2;
... Sie Englisch?;Müssen;Dürfen;Können;3;
Mein Arzt sagt, ich ... im Bett bleiben.;soll;muss;darf;1;
Udo ... doch kommen. Er hat es mir versprochen.;soll;muss;darf;2;
Du weiß das ganz gut. ... ich dir das sagen?;Kann;Darf;Muss;3;
Frau Müller, Sie ... sofort Ihren Mann anrufen. Er hat Sie darum gebeten.;sollen;müssen;dürfen;1;
Das macht er ... Egoismus.;aus;vor;-;1;
... Hunger bin ich.;aus;vor;-;2;
Die Frau hatte solche Angst, dass sie ... Leibeskäften schrie.;aus;vor;-;1;
Er konnte schwierige technische Übersetzungen ... dem Stegreif machen.;vor;aus;-;2;
Klaus begann ... freude zu weinen.;vor;aus;-;1;
Die Kinder zittern ... Kälte.;aus;vor;-;2;
Er hat es ... Hunger gestohlen.;vor;aus;-;2;
Kannst du das noch mal wiederholen! Ich habe dich ... Lärm nicht verstanden.;aus;vor;-;2;
... Hitze kann ich nicht arbeiten.;aus;vor;-;2;
Sie hat diese Chance ... Dummheit verpasst.;vor;aus;-;2;
... Mitleid sollte man nicht heiraten.;vor;aus;-;2;
Die Kinder konnten ... Ungeduld nicht still sitzen. ;aus;vor;-;2;
... Müdigkeit ist sie am Tisch eingeschlafen.;aus;vor;-;2;
... Angst vor Strafe wollte er nicht nach Hause gehen.;vor;aus;-;2;
... Mitgefühl hat er einem Obdachlosen ein Paar Groschen gegeben.;vor;aus;-;2;
Ich konnte ... Sorge nicht einschlafen.;vor;aus;-;1;
Er beging dieses Verbrechen ... Rache.;aus;vor;-;1;
Klaus war ... Wut außer sich.;aus;vor;-;2;
Wo reist er? ... die Schweiz.;in;nach;-;1;
Wo reist er? ... Österreich.;in;nach;-;2;
Wo reist er? ... die Bundesrepublik Deutschland.;in;nach;-;1;
Wo reist er? ... die Slowakische Republik;nach;in;;-2;
Wo reist er? ... Deutschland;nach;in;-;1;
Wo reist er? ... Australien;in;nach;-;2;
Wo reist er? ... Ireland;nach;in;-;1;
Wo reist er? ... England;in;nach;-;2;
Wo reist er? ... die Niederlande.;in;nach;-;1;
Wo reist er? ... Holland;in;nach;-;2;
Wo reist er? ... die Republik Ireland;in;nach;-;1;
Wo reist er? ... die Tschechische Republik.;nach;in;-;2;
Wo reist er? ... Russalnd;nach;in;-;1;
Wo reist er? ... die Vereignigten Staaten;nach;in;-;2;
Wo reist er? ... Nordamerika;nach;in;-;1;
Wo reist er? ... Kanada;nach;in;-;1;
Wo reist er? ... China;in;nach;-;2;
Wo reist er? ... die Volksrepublik China;in;nach;-;1;
Wo reist er? ... den Jemen;nach;in;-;2;
Wo reist er? ... die Innere Mongolei;in;nach;-;1;
Wo reist er? ... die Antarktis;nach;in;-;2;
Wo reist er? ... Asien;nach;in;-;1;
Wo reist er? ... Südkorea;nach;in;-;1;
Wo reist er? ... Saudi Arabien;nach;in;-;1;
Wohin gehen/fahren/fliegen Sie? ... eine Insel;auf;an;nach;1; 
Wohin gehen/fahren/fliegen Sie? ... die Großstadt;nach;in;auf;2; 
Wohin gehen/fahren/fliegen Sie? ... ein Nachbarland;auf;zu;in;3; 
Wohin gehen/fahren/fliegen Sie? ... den Feldberg;auf;an;in;1; 
Wohin gehen/fahren/fliegen Sie? ... Platz der republik;nach;zum;am;2; 
Wohin gehen/fahren/fliegen Sie? ... oben;auf;an;nach;3; 
Wohin gehen/fahren/fliegen Sie? ... links;nach;an;auf;1; 
Wohin gehen/fahren/fliegen Sie? ... Ostseeküste;auf;an;in;2; 
Wohin gehen/fahren/fliegen Sie? ... den Ostseeküste;in;auf;an;3; 
Wohin gehen/fahren/fliegen Sie? ... den Neusiedler;an;auf;in;1; 
Wohin gehen/fahren/fliegen Sie? ... den Aussichtsturm;in;auf;an;2; 
Wohin gehen/fahren/fliegen Sie? ... ihren Eltern;nach;auf;zu;3; 
Wohin gehen/fahren/fliegen Sie? ... Westen;nach;an;in;1; 
Wohin gehen/fahren/fliegen Sie? ... die falsche Richtung;auf;in;nach;2; 
Wohin gehen/fahren/fliegen Sie? ... Berlin;in;zu;nach;3; 
Der Angeklagte wurde ... einer Gefängnisstrafe von 3 Jahren verurteilt.;zu;für;auf;1;
Die Opposition hat ... Protesten angerufen.;an;zu;für;2;
Der niedrige Preis hat mich leider ... dem Kauf verführt.;für;auf;zu;3;
Sie haben mich ... gehindert, meine Träume zu verwirklichen.;daran;darauf;darin;1;
Wir müssen uns ... die Gegebenheiten anpassen.;auf;an;zu;2;
Besonderes Unverständnis herrscht ... ,dass der Konzertschef den Aufsichtsrat nicht über den geplanten Verkauf unterrichtet hat.;dafür;dazu;darüber;3;
Ich halte ... dir und hoffe, dass du gewinnst.;zu;an;auf;1;
Die Mannschaften Kämpfen ... den Weitmeistertitel.;für;um;zu;2;
Sie hat sich ... diese Boshaftigkeit gerächt.;an;auf;für;3;
Du brauchst dich doch ... mir nicht zu schämen.;vor;aus;zu;1;
Wir haben Susi ... unserer Klassensprecherin gewält.;nach;zu;;2;
Wir müssen die Situation akzeptieren und lernen ... umzugehen.;dabei;darauf;damit;3;
Was hat Sie ... dieser Entscheidung veranlässt?;zu;bei;nach;1;
Unterscheiden sich die beiden Vorschläge wirklich ...?;vonseiten;voneinander;wovon;2;
Sie hat sich sehr ... engagiert, dass dieses fest auch in diesem Jahr stattfinden kann.;darauf;dabei;dafür;3;
Er versucht stets, seinen Bruder ... allem zu übertreffen.;in;zu;nach;1;
Ich komme noch ein mal ... die Frage zurück, warum wir unser Ziel nicht erreicht haben.;an;auf;in;2;
Als sie uns sah, ging sie sofort aud uns ...;bei;hinüber;zu;3;
