Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
das flache Gebäude/Komparativ/Superlativ;flachere/flaschste;flächere/fläschste;flachere/flascheste;1;
das klare Wasser/Komparativ/Superlativ;klarere/klarste;klärere/klärste;klarere/klarsteste;1;
die lange Schlange/Komparativ/Superlativ;langere/langste;längere/längste;längere/längerste;2;
die schwache Leistung/Komparativ/Superlativ;schwachere/schwachste;schwächere/schwächerste;schwächere/schwächste;3;
der hohe Turm/Komparativ/Superlativ;höhere/höchste;hohere/hochste;höhere/höherste;1;
das bunte Kleid/Komparativ/Superlativ;büntere/bünteste;buntere/bunteste;büntere/bünteste;2;
das große Tier/Komparativ/Superlativ;großere/großte;großere/großerste;größere/größte;3;
die kurze Reise/Komparativ/Superlativ;kürzere/kürzeste;kurzere/kurzeste;kurzere/kurzste;1;
das stumpfe Messer/Komparativ/Superlativ;stümpfere/stümpfste;stumpfere/stumpfste;stümpfere/stümpferste;2;
der kluge Schüler/Komparativ/Superlativ;klugere/klugste;klügere/klügerste;klügere/klügste;3;
das junge Kind/Komparativ/Superlativ;jüngere/jüngste;jungere/jungste;jüngere/jüngerste;1;
die gesunde Ernährung/Komparativ/Superlativ;gesündere/gesünste;gesundere/gesundste;gesündere/gesündeste;1;
die dumme Entscheidung/Komparativ/Superlativ;dummere/dummste;dümmere/dümmste;dümmere/dummerste;2;
die schlanke Frau/Komparativ/Superlativ;schlänkere/schlänkste;schlänkere/schlänkeste;schlankere/schlankste;3;
das warme Klima/Komparativ/Superlativ;wärmere/wärmste;warmere/warmste;warmere/warmerste;1;
die straffe Zeitplanung/Komparativ/Superlativ;sträffere/sträffste;straffere/straffste;sträffere/straffteste;2;
das zahrte Fleisch/Komparativ/Superlativ;zäretere/zärteste;zärtere/zärtesste;zartere/zarteste;3;
das arme Land/Komparativ/Superlativ;ärmere/ärmste;armere/armste;armere/armerste;1;
das scharfe Gewürz/Komparativ/Superlativ;/;schärfere/schärfste;/;2;
die rasche Entscheidung/Komparativ/Superlativ;raschere/rascherste;räschere/räschste;raschere/rascheste;3;
Der Patient muss sich jetzt ... der Operation erholen.;von;aus;ab;1;
Ich habe mich ... einem Nachbarn nach den Gründen für sein Verhalten erkündigt.;von;bei;zu;2;
Wer hat dich bloß ... diese Idee gebracht.;an;zu;auf;3;
In diesem Park wird ... Drogen gehandelt.;mit;zu;bei;1;
Das Schild weist ... die Gefahr hin.;an;auf;für;2;
Warum hörst du nicht ... mich.;an;für;auf;3;
Ich sorge mich sehr ... die Gesundheit meiner Großmutter.;um;für;auf;1;
Das Schiff sank ... den Meeresgrund.;an;auf;zu;2;
Wir haben uns ... einem Treffen verabredet.;auf;an;zu;3;
... ein Auslandsstudienjahr spricht, dass man die Sprache lernt und wichtige Erfahrungen sammelt.;für;zu;über;1;
Du solltest die Dinge, die du zu erledigen hast, nicht immer ... später verschieben.;an;auf;für;2;
Der Sportler wirbt ... eine Modemarke.;um;über;für;3;
Das Opfer hat sich ... den Angreifer gewehrt.;gegen;vor;zu;1;
Ich will die Veranstaltung organisieren und hoffe, dass mich jemand ... unterstützt.;dazu;dabei;darauf;2;
Wer müssen den Kuchen ... zwölf gleich große Stücke teilen.;auf;für;in;3;
Senden Sie bitte eine Kopie ... mich.;an;auf;für;1;
Das war ein großer Schreck und ich habe mich immer noch nicht ... erholt.;daraus;davon;dabei;2;
Der Alkoholiker hat sich endlich ... einer Entziehungskur entschlossen.;für;aus;zu;3;
Ich habe leider zu spät ... diesem Stellenangebot erfahren.;von;über;für;1;
Alle sollten sich ... den Kosten beteiligt.;auf;an;bei;2;
Das  Fernsehen hat ... diesem Vorfall berichtet.;zu;bei;von;3;
Es liegt ..., dass er mir nie zuhört.;daran;darauf;darüber;1;
In einer fremden Stadt kann man sich ... Stadtplan orientieren.;auf dem;am;in dem;2;
Ich rate dir ... Vorsicht.;für;über;zu;3;
Der Großvater sorgt rührend ... die kleinen Enkelkinder.;für;um;über;1;
Wir haben sie ... überredet, sich mit uns zu treffen.;darauf;dazu;daran;2;
Wir müssen versuchen, die anderen ... diesem Plan zu überzeugen.;über;für;von;3;
Sie hat sich ... den ungerechtfertigen Vorwurf verteidigt.;gegen;vor;zu;1;
Ich Verstehe nicht viel ... Informatik.;über;von;bei;2;
Ich dachte, der Name würde mir wieder eifallen, aber ich bin nicht mehr ... gekommen, wie er heißt.;daran;dazu;darauf;3;
Ich verwende den Computer hauptsächlich ... Arbeiten.;zum;für;über;1;
Sie hat wirklich Ahnung. Sie weiß, ... sie spricht.;worüber;wovon;wofür;2;
