Der Angeklagte wurde ... einer Gefängnisstrafe von 3 Jahren verurteilt.;zu;für;auf;1;
Die Opposition hat ... Protesten angerufen.;an;zu;für;2;
Der niedrige Preis hat mich leider ... dem Kauf verführt.;für;auf;zu;3;
Sie haben mich ... gehindert, meine Träume zu verwirklichen.;daran;darauf;darin;1;
Wir müssen uns ... die Gegebenheiten anpassen.;auf;an;zu;2;
Besonderes Unverständnis herrscht ... ,dass der Konzertschef den Aufsichtsrat nicht über den geplanten Verkauf unterrichtet hat.;dafür;dazu;darüber;3;
Ich halte ... dir und hoffe, dass du gewinnst.;zu;an;auf;1;
Die Mannschaften Kämpfen ... den Weitmeistertitel.;für;um;zu;2;
Sie hat sich ... diese Boshaftigkeit gerächt.;an;auf;für;3;
Du brauchst dich doch ... mir nicht zu schämen.;vor;aus;zu;1;
Wir haben Susi ... unserer Klassensprecherin gewält.;nach;zu;;2;
Wir müssen die Situation akzeptieren und lernen ... umzugehen.;dabei;darauf;damit;3;
Was hat Sie ... dieser Entscheidung veranlässt?;zu;bei;nach;1;
Unterscheiden sich die beiden Vorschläge wirklich ...?;vonseiten;voneinander;wovon;2;
Sie hat sich sehr ... engagiert, dass dieses fest auch in diesem Jahr stattfinden kann.;darauf;dabei;dafür;3;
Er versucht stets, seinen Bruder ... allem zu übertreffen.;in;zu;nach;1;
Ich komme noch ein mal ... die Frage zurück, warum wir unser Ziel nicht erreicht haben.;an;auf;in;2;
Als sie uns sah, ging sie sofort aud uns ...;bei;hinüber;zu;3;
7 mutipliziert ... 4 ist gleich 28.;mit;zu;auf;1;
Die Radfahrer halten ... dem starken Gegenwind zu kämpfen.;gegen;mit;gegenüber;2;
Wir bemühen uns ..., unseren Gästen den Aufenthalt so angenehm wie möglich zu machen.;dafür;darauf;darum;3;
Sie leidet sehr ..., solange von ihren Kindern getrennt zu sein.;darunter;daran;daraus;1;
Diese Gruppierung hat ... Einfluss gewonnen.;auf;an;zu;2;
Ich erfreue mich ... dem Anblick der schönen Landschaft.;zu;für;an;3;
Sie haben sich sehr ... geflüchtete Menschen eingesetzt.;über;an;auf;1;
Wir haben uns ... geeignet, die Klassenfahrtnach Berlin zu machen.;daran;darauf;dazu;2;
Ich befasse mich schon seit geraumer zeit ... diesem Thema.;zu;auf;mit;3;
Du musst sich ... befreien, immer alles immer hundertprozentig richtig machen zu wollen.;davon;daraus;danach;1;
Die Kosten belaufen sich ... 299 Euro.;an;auf;zu;2;
Die Lehrer hat sich ... das Verhalten der Klasse beklagt.;auf;an;über;3;
Er schimpft ständig ... seine Nachbarn.;über;auf;an;1;
Was erwarten Sie ... Ihrer Zukunft?;aus;von;vor;2;
Alle Hoffnungen ruhen ... ihm.;an;in;auf;3;
Der Firmenware steht ... hohe Qualität und absolute Zuverlässigkeit.;für;an;auf;1;
Besonders ... Sprechen muss ich mich noch üben.;auf;im;an;2;
Es ist ihr gelungen, den Familienbetrieb ... moderne Firma umzuwandeln.;zu;auf;in;3;
Oft urteilen wir ... dem ersten Eindruck.;nach;auf;an;1;
Wir wurden ... Stillschweigen verpflichtet.;nach;zu;bei;2;
Der Politiker wurde ... verurteilt, dass er nicht früher über seine Nebentätigkeit informiert hatte.;dadurch;danach;dafür;3;
Du kannst mein Werkzeug ... diese Arbeit verwenden.;für;an;auf;1;
