Fragen;Option1;Option2;Option3;Korrekte_Option;Tipp
Ich habe versucht, meine Aufgaben zu erledigen, aber ich wurde mehrmals ... gestört.;dabei;dazu;daran;1;
Dank einer enormen Leistungssteigerung hat sie ... alle Konkurrentinen gesiegt.;auf;über;für;2;
Sie zweifelt ..., dass er ihr die Wahrheit gesagt hat.;darauf;danach;daran;3;
Bei der Parlamentsitzung hat sie ... geworben, den Gesetzentwurf noch einmal zu überarbeiten.;dafür;dazu;daran;1;
... handelt der Film?;wozu;wovon;wonach;2;
Wie hast du ... erfahren?;dazu;danach;davon;3;
Die Eltern arbeiten viel und beschäftigen sich zu wenig ... ihren Kindern.;mit;um;bei;1;
Du solltest ... das, was sie sagt, hören.;an;auf;nach;2;
Wir alle müssen ... beitragen, dass dieses Projekt ein Erfolg wird.;dafür;darauf;dazu;3;
Er hat ... über die traurige Nachricht geweint.;über;für;auf;1;
Wir sind ... einem anderen Auto zusammengestoßen.;auf;mit;an;2;
Ich habe lange ... sein Vertrauen geworben.;für;auf;um;3;
Wie urteilen Sie ... diesen Film?;über;nach;für;1;
Man hat mich ... 100 Euro betrogen.;an;um;auf;2;
Achtet bitte ... eure Wertgegenstände, denn hier gibt es Taschendiebe.;für;an;auf;3;
Der Lehrer versucht, seine Schüler ... dieses Fach zu begeistern.;für;auf;an;1;
... Diesem Punkt irren Sie sich gewaltig.;bei;in;an;2;
Wir haben versucht, ,ihn ... diesem wichtigen Schritt zu ermutigen.;nach;an;zu;3;
Die Partei greift ... der Macht.;nach;zu;an;1;
Halten Sie sich ... den Hausmeister, wenn Sie Hilfe brauchen.;auf;an;bei;2;
Ich verstehe ... etwas gany anderes als Sie.;darauf;daran;darunter;3;
Meine Aufgabe besteht ... der Planung und Durchführung von Fortbildungsmaßnahmen.;in;auf;aus;1;
Könne Sie die Waren bitte ... meine Adresse liefern?;auf;an;für;2;
Wir sollten uns jetzt aber wirklich ... die Arbeit machen.;auf;um;an;3;
Wer hat ... diesem Projekt mitgewirkt.;an;auf;um;1;
Ihre Schulden haben sich ... die Hälfte verringert.;auf;um;an;2;
Sie haben uns ... einem Wettkampf herausgefordert.;nach;auf;zu;3;
Wir müssen die Situation akzeptieren und lernen, ... ihr umzugehen.;damit/mit;dabei/bei;danach/nach;1;
Er versucht stets, seinen Bruder... allem zu übertreffen.;auf;in;an;2;
Die Zuhörer entrusteten sich ... die Aussagen des politikers.;über;auf;für;1;
Es regnet schon seit tagen und wir hoffen ... besseres Wetter.;auf;an;über;1;
Ich erfreue mich ... dem Anblick der schönen landschaft.;auf;an;über;2;
Wir haben uns ... geeinigt, die Klassenfahrt nach Berlin zu machen.;daran;dazu;darauf;3;
... ernähren sich diese Tiere?;wovon/von was;womit/mit was;wonach;1;
Spieler und fans jubelten gemeinsam ... diesen wichtigen Sieg.;auf;über;an;2;
Wir bemühen uns ... eine Aufenthaltsgenehmigung.;für;auf;um;3;
Viele freiwillige Helfer haben ... der veranstaltung mitgewirkt.;an;auf;zu;1;
Oft urteilen wir ... dem ersten Eindruck.;an;nach;bei;2;
Die Sprotlerin hat ... verzichtet, an diesem Wettkampf teilzunehmen.;daran;dazu;darauf;3;
Sie ist nicht ... meine Frage eingegangen.;auf;an;in;1;
Viele beneiden sie ... ihre außerordentlichen Fähigkeiten.;für;um;auf;2;
Am Anfang musste ich ... kämpfen, ernst genommen zu werden.;darauf;danach;darum;3;
In unserem Land mangelt es ... qualifizierten Fachkräften.;an;auf;von;1;
Sie philosophiert ständig ... das Leben.;auf;über;an;2;
Ich habe ... dir gerufen, aber du hast mich nicht gehört.;bei;zu;nach;3;
Die beiden Fahrzeuge sind ... gestoßen.;aufeinander;gegeneiander;aneinander;2;
Ich weiß ... meine Schwächen.;über;auf;um;3;
Was verstehen Sie ... diesem Begriff?;unter;über;auf;1;
Die familie verfügt ... zwei Autos und ein Motorrad.;auf;über;an;2;
Ich liebe Kartenspiele, aber wir spielen nie ... Geld.;auf;für;um;3;
Achtet ..., was ihr sagt.;darauf;daran;darum;1;
Du solltest versuchen, dich nicht zu sehr ... deine Kinder zu ängstigen.;auf;um;an;2;
Ich habe mich sehr ... erschreckt.;daran;darauf;darüber;3;
Die Polizei rechnet neben dem harten Kern noch etwa 100 Sympathisanten ... diseser Gruppe.;zu;bei;auf;1;
Wir sollten versuchen, uns ... einen Kompromiss zu einigen.;an;auf;für;2;
Sie ist ... einer Grippe erkrankt.;unter;nach;an;3;
... lässt sich folgern, dass es derzeit keinen Zweck hat, weiter an diesem Projekt zu Arbeiten.;daraus;davon;danach;1;
Ihre ermutigenden Worte haben mich ... veranlasst, den Schritt zu wagen.;danach;dazu;darauf;2;
Das Unternehmen wirbt schon lange ... neue, hochqualifizierte Mitarbeiter.;für;zu;um;3;
Vertrau ... deine Fähigkeiten! Dann wirst du es schaffen.;auf;in;an;1;
Sie spielt ... den Vorfall vor drei jahren an.;an;auf;über;2;
Es tut mir leid, aber ich eigne mich einfach nicht ... diese Arbeit.;auf;an;für;3;
... hat er sich berufen?;worauf;woran;wofür;1;
Ich weiß gar nicht mehr ... wen ich noch zählen kann.;an;auf;für;2;
... diese frage müssen wir uns noch austauschen.;von;auf;über;3;
Wir sollten versuchen, jemanden zu finden, der sich ... diese Augabe eignet.;für;auf;an;1;
Die Zuschauer spotteten ... die schwache Leistung der Mannschaft.;auf;über;an;2;
Wir haben immer ...gestrebbt. uns zu verbessern.;dazu;daran;danach;3;
Wir appellieren ... alle anständigen Menschen, wiederstand zu leisten.;an;auf;für;1;



