Für das kommende Jahr wird _____ einem weiteren Anstieg der Mineralölpreise gerechnet.;mit;;;1;
Die Verbraucherzentralen helfen _____ privater Verschuldung.;;bei;;2;
Die IHK lädt Unternehmen aus der Region _____ einer Informationsveranstaltung ein.;;;zu;3;
Die Journalisten fragten _____ den Auswirkungen der geplanten Reform auf die Energiepreise.;nach;;;1;
Der Minister erinnerte die Arbeitgeber _____ ihre Versprechen, mehr Lehrstellen anzubieten.;;an;;2;
Die Unternehmen freuen sich _____ die beschlossen___ Maßnahmen zur Entbürokratisierung.;;;über;3;
Bei Auslandsgeschäften kommt es in erster Linie _____ eine gute Produktqualität und d___Wahl des richtigen Partners im Zielmarkt an.;auf;;;1;
Viele Arbeitgeber kümmern sich nicht systematisch ____ die Gesundheit ihrer Mitarbeiter.;;um;;2;
Das Finanzministerium wartet immer noch _____ das Gutachten des Sachverständigenrates.;;;auf;3;
Die Unternehmen achten zu wenig ______ die Weiterbildung ihrer Mitarbeiter.;auf;;;1;
Das Team der Schuldnerberatung besteht _____ qualifiziertennd sachkundig___ Fachleuten.;;aus;;2;
Die Bürgerinitiative gegen den Erweiterung des Gewerbeparks hat einen offenen Brief _____die Stadtverwaltung geschrieben.;;;an;3;
Die Pressemeldungen über verdorbene Lebensmittel sorgen in der Bevölkerung ____ Aufregung.;für;;;1;
Die vom ausufernden Telefonmarketing genervten Kunden wenden sich vermehrt ____ die Verbraucherzentralen.;;an;;2;
Am meisten profitieren die großen Discounter _____ der Neuregelung.;;;von;3;
Bei dem im Konzern aufgedeckten Korruptionsfall handelt es sich nicht _____ ein Bagatelldelikt;um;;;1;
Die Expertenempfehlung, eine PKW-Maut einzuführen, bezieht sich nur _____ den grenzüberschreitenden Verkehr;;auf;;2;
 _____ der Kundgebung gegen die Werksschließung nahmen ca. 5.000 Personen teil.;;;an;3;
Die Konzernleitung entschied sich _____ den Verkauf des defizitären Geschäftsbereiches.;für;;;1;
Das Unternehmen beschäftigt sich _____ der Entwicklung neuer, keramischer Werkstoffe;;mit;;2;
Bei vielen Unternehmen der Branche geht es mittlerweile nur noch _____ die nackte Existenz;;;um;3;
Die Medien berichteten bereits des Öfteren _____ die dubiosen Geschäftsmethoden des Unternehmens.;über;;;1;
Der Konzern gehört _____ den weltweit führenden Anbietern im Bereich der Solarenergie;;zu;;2;
Die Regierung hat sich _____ eine Verlängerung der Subventionen für den heimischen Kohlebergbau bis zum Jahr 20... entschieden;;;für;3;
Ein Großteil der Betriebe richtet sich mittlerweile nicht mehr _______ Tarifverträgen, sondern sucht möglichst „billige“ Mitarbeiter.;nach;;;1;
