Erkundigen Sie sich ______ der Zufriedenheit des Kunden!;nach;auf;für;1;
Gehen Sie gezielt ______ das Problem oder den Wunsch des Kunden ein!;an;auf;für;2;
Stellen Sie ruhig und sachlich Zwischenfragen, denn dies zeugt _____ Ihrem Interesse!;auf;über;von;3;
Konzentrieren Sie sich aber dabei ______ das Wesentliche!;auf;für;an;1;
Vermitteln Sie dem Kunden Ihr Bedauern, dass es ______ der Panne gekommen ist!;auf;zu;an;2;
Bitten Sie ihn bei Lieferverzögerungen ____ Nachsicht, und erklären Sie ihm, was Sie tun werden, damit ihm schnellstmöglich die bestellte Ware zugestellt wird!;für;auf;um;3;
Sagen Sie ihm bei weiterem Klärungsbedarf einen festen Termin zu dem Sie sich wieder ______ ihm melden!;bei;auf;zu;1;
Verweisen Sie nicht stereotyp ______ Ihre Vorschriften, wenn der Kunde auf den Umtausch oder die Rückerstattung des Kaufpreises besteht!;an;auf;über;2;
Verständigen Sie sich mit dem Kunden ______ eine für beide Seiten akzeptable Höhe des Preisnachlasses.;an;über;auf;3;
Erläutern Sie die Gründe, die ______ der Zurückweisung der Reklamation geführt haben.;zur;auf;nach;1;
Wenn Sie einen Brief ______ einen Kunden versenden, achten Sie auf klare und verständliche Formulierungen!;auf;an;für;2;
Greifen Sie dabei nie ______ Formulierungen zurück, die Sie bei einem Gespräch mit Kunden nicht verwenden würden.;an;nach;auf;3;
Erboste Kunden werden sich anfänglich in den seltensten Fällen ______ das eigentliche Problem konzentrieren.;auf;an;über;1;
Manche Kunden verlangen direkt ______ dem Vorgesetzten oder gleich ______ dem Geschäftsführer.;über;nach;zu;2;
Achten Sie ______, dass der Kunde nicht den Eindruck bekommt, dass Sie nicht über die hinreichenden Kompetenzen verfügen, uber die Reklamation zu entscheiden!;danach;daran;darauf;3;
Lassen Sie sich nicht _______ provozierenden Bemerkungen hinreißen, wenn ein Kunde seine Beschwerde in einem aggressiven Ton vorträgt!;zu;nach;auf;1;
Meist genügt es bereits, den Kunden _____ sein unangemessenes Verhalten hinzuweisen!;zu;auf;an;2;
Versuchen Sie, emotional aufgeladene Gespräche _____ den sachlichen Kern zu reduzieren!;an;zu;auf;3;
Am Telefon können Sie mit der Art Ihrer Formulierungen und Ihrem Tonfall ______ den Gesprächspartner in der gewünschten Weise einwirken.;auf;an;über;1;
Indem Sie den Kunden bitten, den bestehenden Defekt zu beschreiben, zwingen Sie ihn _______ Sachlichkeit!;auf der;zur;nach der ;2;
Wenn ein Kunde damit droht, sich ______ die Medien zu wenden, sollten Sie die Unternehmensleitung informieren.;auf;über;an;3;
