a) 1. a) Die Waldarbeiter haben einen Baum ____________.;gefällt;gefallen;-;1;
b) Der Baum ist krachend zu Boden ____________.;gefällt;gefallen;;2;
2. a) Sein schlechtes Aussehen hat mich ____________.;erschrocken;-;erschreckt;3;
b) Ich bin über sein schlechtes Aussehen ___________. ;erschrocken;erschreckt;-;1;
c) Wie habe ich mich darüber ____________!;erschreckt;erschreckt/erschrocken;erschrocken;2;
3. a) Ilona hat die Haare ____________.;-;verblichen;gebleicht;3;
b) Die Fotos sind mit der Zeit ____________.;verblichen;gebleicht;-;1;
4. a) Bei dem Hochwasser ist viel Vieh ____________.;ertränkt;ertrunken;-;2;
b) Ottfried  hat sich sich ____________.;-;ertrunken;ertränkt;3;
c) Otto hat die jungen Katzen im Teich ____________.;ertränkt;ertrunken;-;1;
