Die Störche _______ wieder in die Polessje gezogen.;sind;haben;-;1;
Die Jungverheirateten _______ durch den Saal getanzt.;haben;sind;-;2;
Monika _______ wie die Made im Speck gelebt.;-;ist;hat;3;
Erika _______ mit gekreuzten, übereinander geschlagenen Beinen auf dem Stuhl gesessen.;hat;ist;-;1;
Die Reise nach Spanien _______ bestens geglückt.;hat;ist;-;2;
Else _______ als Laufbursche bei der Firma Bosch begonnen.;-;ist;hat;3;
Emma ______ den Korken aus der Flasche gezogen.;hat;ist;-;1;
Erika _______ ans Ufer/zur Insel gezogen.;hat;ist;-;2;
Das Kind _______ vor dem Hund erschrocken.;-;hat;ist;3;
Bei der Prüfung _______ alles geklappt.;hat;ist;-;1;
Er _______ auf dem Rücken geschwommen.;;hat/ist;-;2;
Erika _______ meinem Rat gefolgt.;-;hat;ist;3;
Es _______ natürlich wieder Schwierigkeiten gegeben.;hat;ist;-;1;
